fecha,codigo_indicador,indicador,formato,sistema_financiero,banca_publica,banca_privada,banca_nacional,banca_extranjera,companias_financieras
2018-04,800010200160,A16 - Cartera Irregular Consumo Sector Privado (%),P,3.15,,,,,
2018-04,800010200170,A17 - Cartera Irregular Comercial Sector Privado (%),P,0.95,,,,,
2018-04,800010200210,A21 - Posici�n de Previsiones M�nimas (%),P,30.27,,,,,
2018-04,800010201030,AG3 - Importancia de Cartera Vencida del Sector Privado (%),P,1.29,,,,,
2018-04,800010201290,AG29 - Efectivo y Dep�sito en Bancos / Activo (%),P,16.06,,,,,
2018-04,800010300010,E1 - Absorci�n de Gastos de Ad. con Vol�men de Negocio (%),P,4.7,,,,,
2018-04,800010300020,E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),P,53.88,,,,,
2018-04,800010300040,E4 - Dep�sitos por Empleado (en millones de pesos),N,25.26,,,,,
2018-04,800010300050,E5 - Financiaciones por Empleado (en millones de pesos),N,17.5,,,,,
2018-04,800010400010,R1 - Rendimiento Anual del Patrimonio ( ROE) (%),P,24.13,,,,,
2018-04,800010400020,R2 - Rendimiento Ordinario del Patrimonio (%),P,31.13,,,,,
2018-04,800010400080,R8 - Tasa Implicita Pr�stamos Totales (%),P,19.3,,,,,
2018-04,800010400090,R9 - Tasa Implicita Dep�sitos Totales (%),P,7.21,,,,,
2018-04,800010400170,R17 - Gastos en Personal / Gastos de Administraci�n (%),P,56.03,,,,,
2018-04,800010401010,RG1 - Retorno sobre Activos ( ROA) (%),P,2.8,,,,,
2018-04,800010401020,RG2 - Ingresos Financieros Netos / Activo  (%),P,9.2,,,,,
2018-04,800010401030,RG3 - Cargos por Incobrabilidad / Activo  (%),P,1.1,,,,,
2018-04,800010401040,RG4 - Ingresos Netos por Servicios / Activo  (%),P,2.23,,,,,
2018-04,800010401050,RG5 - Gastos de Administraci�n / Activo  (%),P,6.71,,,,,
2018-04,800010401150,RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),P,4.07,,,,,
2018-04,800010500010,L1 - Liquidez Total con Posici�n de Call (%),P,27.88,,,,,
2018-04,800010500080,L8_II - Liquidez Total (%),P,27.56,,,,,
2018-04,800010500090,L9 - Liquidez Inmediata (Ef. y dep en bcos + IRM x Pases)(%),P,26.74,,,,,
2018-05,800010100010,C1 - Apalancamiento (en veces),N,7.32,,,,,
2018-05,800010100020,C2 - P�rdida Potencial de Cartera en Situaci�n 2 a 6 (%),P,3.47,,,,,
2018-05,800010100030,C3 - P�rdida Potencial de Cartera en Situaci�n 3 a 6 (%),P,-2.42,,,,,
2018-05,800010200090,A9 - Total Cartera Irregular / Total Financiaciones (%),P,1.97,,,,,
2018-05,800010200110,A11 - Cartera Irregular Sector Privado (%),P,2.08,,,,,
2018-05,800010200120,A12 - Participaci�n Cartera Comercial Sector Privado (%),P,55.57,,,,,
2018-05,800010200130,A13 - Participaci�n Cartera Consumo Sector Privado (%),P,44.83,,,,,
2018-05,800010200140,A14 - Previsiones sobre Cartera Irregular Total (%),P,126.3,,,,,
2018-05,800010200160,A16 - Cartera Irregular Consumo Sector Privado (%),P,3.36,,,,,
2018-05,800010200170,A17 - Cartera Irregular Comercial Sector Privado (%),P,1.03,,,,,
2018-05,800010200210,A21 - Posici�n de Previsiones M�nimas (%),P,30.13,,,,,
2018-05,800010201030,AG3 - Importancia de Cartera Vencida del Sector Privado (%),P,1.37,,,,,
2018-05,800010201290,AG29 - Efectivo y Dep�sito en Bancos / Activo (%),P,17.38,,,,,
2018-05,800010300010,E1 - Absorci�n de Gastos de Ad. con Vol�men de Negocio (%),P,4.58,,,,,
2018-05,800010300020,E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),P,52.83,,,,,
2018-05,800010300040,E4 - Dep�sitos por Empleado (en millones de pesos),N,26.62,,,,,
2018-05,800010300050,E5 - Financiaciones por Empleado (en millones de pesos),N,18.43,,,,,
2018-05,800010400010,R1 - Rendimiento Anual del Patrimonio ( ROE) (%),P,24.92,,,,,
2018-05,800010400020,R2 - Rendimiento Ordinario del Patrimonio (%),P,30.29,,,,,
2018-05,800010400080,R8 - Tasa Implicita Pr�stamos Totales (%),P,21.38,,,,,
2018-05,800010400090,R9 - Tasa Implicita Dep�sitos Totales (%),P,7.41,,,,,
2018-05,800010400170,R17 - Gastos en Personal / Gastos de Administraci�n (%),P,55.78,,,,,
2018-05,800010401010,RG1 - Retorno sobre Activos ( ROA) (%),P,2.9,,,,,
2018-05,800010401020,RG2 - Ingresos Financieros Netos / Activo  (%),P,9.17,,,,,
2018-05,800010401030,RG3 - Cargos por Incobrabilidad / Activo  (%),P,1.15,,,,,
2018-05,800010401040,RG4 - Ingresos Netos por Servicios / Activo  (%),P,2.18,,,,,
2018-05,800010401050,RG5 - Gastos de Administraci�n / Activo  (%),P,6.68,,,,,
2018-05,800010401150,RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),P,4.18,,,,,
2018-05,800010500010,L1 - Liquidez Total con Posici�n de Call (%),P,30.29,,,,,
2018-05,800010500080,L8_II - Liquidez Total (%),P,29.99,,,,,
2018-05,800010500090,L9 - Liquidez Inmediata (Ef. y dep en bcos + IRM x Pases)(%),P,24.84,,,,,
2018-06,800010100010,C1 - Apalancamiento (en veces),N,7.74,,,,,
2018-06,800010100020,C2 - P�rdida Potencial de Cartera en Situaci�n 2 a 6 (%),P,3.24,,,,,
2018-06,800010100030,C3 - P�rdida Potencial de Cartera en Situaci�n 3 a 6 (%),P,-2.5,,,,,
2018-06,800010200090,A9 - Total Cartera Irregular / Total Financiaciones (%),P,1.94,,,,,
2018-06,800010200110,A11 - Cartera Irregular Sector Privado (%),P,2.05,,,,,
2018-06,800010200120,A12 - Participaci�n Cartera Comercial Sector Privado (%),P,57.03,,,,,
2018-06,800010200130,A13 - Participaci�n Cartera Consumo Sector Privado (%),P,43.4,,,,,
2018-06,800010200140,A14 - Previsiones sobre Cartera Irregular Total (%),P,126.95,,,,,
2018-06,800010200160,A16 - Cartera Irregular Consumo Sector Privado (%),P,3.33,,,,,
2018-06,800010200170,A17 - Cartera Irregular Comercial Sector Privado (%),P,1.06,,,,,
2018-06,800010200210,A21 - Posici�n de Previsiones M�nimas (%),P,32.36,,,,,
2018-06,800010201030,AG3 - Importancia de Cartera Vencida del Sector Privado (%),P,1.33,,,,,
2018-06,800010201290,AG29 - Efectivo y Dep�sito en Bancos / Activo (%),P,18.53,,,,,
2018-06,800010300010,E1 - Absorci�n de Gastos de Ad. con Vol�men de Negocio (%),P,4.38,,,,,
2018-06,800010300020,E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),P,54.12,,,,,
2018-06,800010300040,E4 - Dep�sitos por Empleado (en millones de pesos),N,29.0,,,,,
2018-06,800010300050,E5 - Financiaciones por Empleado (en millones de pesos),N,19.25,,,,,
2018-06,800010400010,R1 - Rendimiento Anual del Patrimonio ( ROE) (%),P,26.49,,,,,
2018-06,800010400020,R2 - Rendimiento Ordinario del Patrimonio (%),P,30.76,,,,,
2018-06,800010400080,R8 - Tasa Implicita Pr�stamos Totales (%),P,21.42,,,,,
2018-06,800010400090,R9 - Tasa Implicita Dep�sitos Totales (%),P,7.6,,,,,
2018-06,800010400170,R17 - Gastos en Personal / Gastos de Administraci�n (%),P,55.36,,,,,
2018-06,800010401010,RG1 - Retorno sobre Activos ( ROA) (%),P,3.08,,,,,
2018-06,800010401020,RG2 - Ingresos Financieros Netos / Activo  (%),P,9.2,,,,,
2018-06,800010401030,RG3 - Cargos por Incobrabilidad / Activo  (%),P,1.16,,,,,
2018-06,800010401040,RG4 - Ingresos Netos por Servicios / Activo  (%),P,2.14,,,,,
2018-06,800010401050,RG5 - Gastos de Administraci�n / Activo  (%),P,6.61,,,,,
2018-06,800010401150,RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),P,4.39,,,,,
2018-06,800010500010,L1 - Liquidez Total con Posici�n de Call (%),P,31.02,,,,,
2018-06,800010500080,L8_II - Liquidez Total (%),P,30.84,,,,,
2018-06,800010500090,L9 - Liquidez Inmediata (Ef. y dep en bcos + IRM x Pases)(%),P,29.35,,,,,
2018-07,800010100010,C1 - Apalancamiento (en veces),N,7.74,,,,,
2018-07,800010100020,C2 - P�rdida Potencial de Cartera en Situaci�n 2 a 6 (%),P,3.82,,,,,
2018-07,800010100030,C3 - P�rdida Potencial de Cartera en Situaci�n 3 a 6 (%),P,-2.41,,,,,
2018-07,800010200090,A9 - Total Cartera Irregular / Total Financiaciones (%),P,2.06,,,,,
2018-07,800010200110,A11 - Cartera Irregular Sector Privado (%),P,2.18,,,,,
2018-07,800010200120,A12 - Participaci�n Cartera Comercial Sector Privado (%),P,56.18,,,,,
2018-07,800010200130,A13 - Participaci�n Cartera Consumo Sector Privado (%),P,44.24,,,,,
2018-07,800010200140,A14 - Previsiones sobre Cartera Irregular Total (%),P,124.63,,,,,
2018-07,800010200160,A16 - Cartera Irregular Consumo Sector Privado (%),P,3.45,,,,,
2018-07,800010200170,A17 - Cartera Irregular Comercial Sector Privado (%),P,1.15,,,,,
2018-07,800010200210,A21 - Posici�n de Previsiones M�nimas (%),P,33.49,,,,,
2018-07,800010201030,AG3 - Importancia de Cartera Vencida del Sector Privado (%),P,1.43,,,,,
2018-07,800010201290,AG29 - Efectivo y Dep�sito en Bancos / Activo (%),P,18.11,,,,,
2018-07,800010300010,E1 - Absorci�n de Gastos de Ad. con Vol�men de Negocio (%),P,4.48,,,,,
2018-07,800010300020,E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),P,52.24,,,,,
2018-07,800010300040,E4 - Dep�sitos por Empleado (en millones de pesos),N,29.24,,,,,
2018-07,800010300050,E5 - Financiaciones por Empleado (en millones de pesos),N,19.11,,,,,
2018-07,800010400010,R1 - Rendimiento Anual del Patrimonio ( ROE) (%),P,26.97,,,,,
2018-07,800010400020,R2 - Rendimiento Ordinario del Patrimonio (%),P,29.52,,,,,
2018-07,800010400080,R8 - Tasa Implicita Pr�stamos Totales (%),P,21.58,,,,,
2018-07,800010400090,R9 - Tasa Implicita Dep�sitos Totales (%),P,8.05,,,,,
2018-07,800010400170,R17 - Gastos en Personal / Gastos de Administraci�n (%),P,55.1,,,,,
2018-07,800010401010,RG1 - Retorno sobre Activos ( ROA) (%),P,3.13,,,,,
2018-07,800010401020,RG2 - Ingresos Financieros Netos / Activo  (%),P,9.06,,,,,
2018-07,800010401030,RG3 - Cargos por Incobrabilidad / Activo  (%),P,1.18,,,,,
2018-07,800010401040,RG4 - Ingresos Netos por Servicios / Activo  (%),P,2.11,,,,,
2018-07,800010401050,RG5 - Gastos de Administraci�n / Activo  (%),P,6.56,,,,,
2018-07,800010401150,RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),P,4.41,,,,,
2018-07,800010500010,L1 - Liquidez Total con Posici�n de Call (%),P,30.08,,,,,
2018-07,800010500080,L8_II - Liquidez Total (%),P,29.88,,,,,
2018-07,800010500090,L9 - Liquidez Inmediata (Ef. y dep en bcos + IRM x Pases)(%),P,30.82,,,,,
2018-08,800010100010,C1 - Apalancamiento (en veces),N,8.51,,,,,
2018-08,800010100020,C2 - P�rdida Potencial de Cartera en Situaci�n 2 a 6 (%),P,4.2,,,,,
2018-08,800010100030,C3 - P�rdida Potencial de Cartera en Situaci�n 3 a 6 (%),P,-2.57,,,,,
2018-08,800010200090,A9 - Total Cartera Irregular / Total Financiaciones (%),P,2.03,,,,,
2018-08,800010200110,A11 - Cartera Irregular Sector Privado (%),P,2.14,,,,,
2018-08,800010200120,A12 - Participaci�n Cartera Comercial Sector Privado (%),P,58.76,,,,,
2018-08,800010200130,A13 - Participaci�n Cartera Consumo Sector Privado (%),P,41.67,,,,,
2018-08,800010200140,A14 - Previsiones sobre Cartera Irregular Total (%),P,125.26,,,,,
2018-08,800010200160,A16 - Cartera Irregular Consumo Sector Privado (%),P,3.51,,,,,
2018-08,800010200170,A17 - Cartera Irregular Comercial Sector Privado (%),P,1.15,,,,,
2018-08,800010200210,A21 - Posici�n de Previsiones M�nimas (%),P,33.43,,,,,
2018-08,800010201030,AG3 - Importancia de Cartera Vencida del Sector Privado (%),P,1.43,,,,,
2018-08,800010201290,AG29 - Efectivo y Dep�sito en Bancos / Activo (%),P,22.49,,,,,
2018-08,800010300010,E1 - Absorci�n de Gastos de Ad. con Vol�men de Negocio (%),P,4.11,,,,,
2018-08,800010300020,E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),P,56.02,,,,,
2018-08,800010300040,E4 - Dep�sitos por Empleado (en millones de pesos),N,33.46,,,,,
2018-08,800010300050,E5 - Financiaciones por Empleado (en millones de pesos),N,20.9,,,,,
2018-08,800010400010,R1 - Rendimiento Anual del Patrimonio ( ROE) (%),P,30.64,,,,,
2018-08,800010400020,R2 - Rendimiento Ordinario del Patrimonio (%),P,31.75,,,,,
2018-08,800010400080,R8 - Tasa Implicita Pr�stamos Totales (%),P,21.76,,,,,
2018-08,800010400090,R9 - Tasa Implicita Dep�sitos Totales (%),P,8.6,,,,,
2018-08,800010400170,R17 - Gastos en Personal / Gastos de Administraci�n (%),P,54.6,,,,,
2018-08,800010401010,RG1 - Retorno sobre Activos ( ROA) (%),P,3.5,,,,,
2018-08,800010401020,RG2 - Ingresos Financieros Netos / Activo  (%),P,9.25,,,,,
2018-08,800010401030,RG3 - Cargos por Incobrabilidad / Activo  (%),P,1.2,,,,,
2018-08,800010401040,RG4 - Ingresos Netos por Servicios / Activo  (%),P,2.07,,,,,
2018-08,800010401050,RG5 - Gastos de Administraci�n / Activo  (%),P,6.48,,,,,
2018-08,800010401150,RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),P,4.7,,,,,
2018-08,800010500010,L1 - Liquidez Total con Posici�n de Call (%),P,33.28,,,,,
2018-08,800010500080,L8_II - Liquidez Total (%),P,33.09,,,,,
2018-08,800010500090,L9 - Liquidez Inmediata (Ef. y dep en bcos + IRM x Pases)(%),P,38.29,,,,,
2018-09,800010100010,C1 - Apalancamiento (en veces),N,8.71,,,,,
2018-09,800010100020,C2 - P�rdida Potencial de Cartera en Situaci�n 2 a 6 (%),P,5.48,,,,,
2018-09,800010100030,C3 - P�rdida Potencial de Cartera en Situaci�n 3 a 6 (%),P,-2.78,,,,,
2018-09,800010200090,A9 - Total Cartera Irregular / Total Financiaciones (%),P,2.1,,,,,
2018-09,800010200110,A11 - Cartera Irregular Sector Privado (%),P,2.21,,,,,
2018-09,800010200120,A12 - Participaci�n Cartera Comercial Sector Privado (%),P,59.68,,,,,
2018-09,800010200130,A13 - Participaci�n Cartera Consumo Sector Privado (%),P,40.78,,,,,
2018-09,800010200140,A14 - Previsiones sobre Cartera Irregular Total (%),P,126.23,,,,,
2018-09,800010200160,A16 - Cartera Irregular Consumo Sector Privado (%),P,3.63,,,,,
2018-09,800010200170,A17 - Cartera Irregular Comercial Sector Privado (%),P,1.22,,,,,
2018-09,800010200210,A21 - Posici�n de Previsiones M�nimas (%),P,36.56,,,,,
2018-09,800010201030,AG3 - Importancia de Cartera Vencida del Sector Privado (%),P,1.45,,,,,
2018-09,800010201290,AG29 - Efectivo y Dep�sito en Bancos / Activo (%),P,23.29,,,,,
2018-09,800010300010,E1 - Absorci�n de Gastos de Ad. con Vol�men de Negocio (%),P,4.15,,,,,
2018-09,800010300020,E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),P,58.41,,,,,
2018-09,800010300040,E4 - Dep�sitos por Empleado (en millones de pesos),N,34.77,,,,,
2018-09,800010300050,E5 - Financiaciones por Empleado (en millones de pesos),N,21.44,,,,,
2018-09,800010400010,R1 - Rendimiento Anual del Patrimonio ( ROE) (%),P,32.03,,,,,
2018-09,800010400020,R2 - Rendimiento Ordinario del Patrimonio (%),P,33.28,,,,,
2018-09,800010400080,R8 - Tasa Implicita Pr�stamos Totales (%),P,21.96,,,,,
2018-09,800010400090,R9 - Tasa Implicita Dep�sitos Totales (%),P,9.09,,,,,
2018-09,800010400170,R17 - Gastos en Personal / Gastos de Administraci�n (%),P,54.25,,,,,
2018-09,800010401010,RG1 - Retorno sobre Activos ( ROA) (%),P,3.6,,,,,
2018-09,800010401020,RG2 - Ingresos Financieros Netos / Activo  (%),P,9.37,,,,,
2018-09,800010401030,RG3 - Cargos por Incobrabilidad / Activo  (%),P,1.25,,,,,
2018-09,800010401040,RG4 - Ingresos Netos por Servicios / Activo  (%),P,2.03,,,,,
2018-09,800010401050,RG5 - Gastos de Administraci�n / Activo  (%),P,6.41,,,,,
2018-09,800010401150,RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),P,5.06,,,,,
2018-09,800010500010,L1 - Liquidez Total con Posici�n de Call (%),P,33.93,,,,,
2018-09,800010500080,L8_II - Liquidez Total (%),P,33.75,,,,,
2018-09,800010500090,L9 - Liquidez Inmediata (Ef. y dep en bcos + IRM x Pases)(%),P,42.75,,,,,
2018-10,800010100010,C1 - Apalancamiento (en veces),N,8.31,,,,,
2018-10,800010100020,C2 - P�rdida Potencial de Cartera en Situaci�n 2 a 6 (%),P,6.36,,,,,
2018-10,800010100030,C3 - P�rdida Potencial de Cartera en Situaci�n 3 a 6 (%),P,-2.3,,,,,
2018-10,800010200090,A9 - Total Cartera Irregular / Total Financiaciones (%),P,2.37,,,,,
2018-10,800010200110,A11 - Cartera Irregular Sector Privado (%),P,2.49,,,,,
2018-10,800010200120,A12 - Participaci�n Cartera Comercial Sector Privado (%),P,56.76,,,,,
2018-10,800010200130,A13 - Participaci�n Cartera Consumo Sector Privado (%),P,43.62,,,,,
2018-10,800010200140,A14 - Previsiones sobre Cartera Irregular Total (%),P,120.66,,,,,
2018-10,800010200160,A16 - Cartera Irregular Consumo Sector Privado (%),P,3.75,,,,,
2018-10,800010200170,A17 - Cartera Irregular Comercial Sector Privado (%),P,1.51,,,,,
2018-10,800010200210,A21 - Posici�n de Previsiones M�nimas (%),P,39.36,,,,,
2018-10,800010201030,AG3 - Importancia de Cartera Vencida del Sector Privado (%),P,1.67,,,,,
2018-10,800010201290,AG29 - Efectivo y Dep�sito en Bancos / Activo (%),P,21.15,,,,,
2018-10,800010300010,E1 - Absorci�n de Gastos de Ad. con Vol�men de Negocio (%),P,4.4,,,,,
2018-10,800010300020,E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),P,57.26,,,,,
2018-10,800010300040,E4 - Dep�sitos por Empleado (en millones de pesos),N,34.44,,,,,
2018-10,800010300050,E5 - Financiaciones por Empleado (en millones de pesos),N,20.48,,,,,
2018-10,800010400010,R1 - Rendimiento Anual del Patrimonio ( ROE) (%),P,32.55,,,,,
2018-10,800010400020,R2 - Rendimiento Ordinario del Patrimonio (%),P,32.72,,,,,
2018-10,800010400080,R8 - Tasa Implicita Pr�stamos Totales (%),P,22.5,,,,,
2018-10,800010400090,R9 - Tasa Implicita Dep�sitos Totales (%),P,10.14,,,,,
2018-10,800010400170,R17 - Gastos en Personal / Gastos de Administraci�n (%),P,53.95,,,,,
2018-10,800010401010,RG1 - Retorno sobre Activos ( ROA) (%),P,3.62,,,,,
2018-10,800010401020,RG2 - Ingresos Financieros Netos / Activo  (%),P,9.29,,,,,
2018-10,800010401030,RG3 - Cargos por Incobrabilidad / Activo  (%),P,1.28,,,,,
2018-10,800010401040,RG4 - Ingresos Netos por Servicios / Activo  (%),P,1.99,,,,,
2018-10,800010401050,RG5 - Gastos de Administraci�n / Activo  (%),P,6.36,,,,,
2018-10,800010401150,RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),P,4.91,,,,,
2018-10,800010500010,L1 - Liquidez Total con Posici�n de Call (%),P,30.89,,,,,
2018-10,800010500080,L8_II - Liquidez Total (%),P,30.7,,,,,
2018-10,800010500090,L9 - Liquidez Inmediata (Ef. y dep en bcos + IRM x Pases)(%),P,45.77,,,,,
2018-11,800010100010,C1 - Apalancamiento (en veces),N,8.75,,,,,
2018-11,800010100020,C2 - P�rdida Potencial de Cartera en Situaci�n 2 a 6 (%),P,5.27,,,,,
2018-11,800010100030,C3 - P�rdida Potencial de Cartera en Situaci�n 3 a 6 (%),P,-3.32,,,,,
2018-11,800010200090,A9 - Total Cartera Irregular / Total Financiaciones (%),P,2.6,,,,,
2018-11,800010200110,A11 - Cartera Irregular Sector Privado (%),P,2.74,,,,,
2018-11,800010200120,A12 - Participaci�n Cartera Comercial Sector Privado (%),P,56.92,,,,,
2018-11,800010200130,A13 - Participaci�n Cartera Consumo Sector Privado (%),P,43.45,,,,,
2018-11,800010200140,A14 - Previsiones sobre Cartera Irregular Total (%),P,126.73,,,,,
2018-11,800010200160,A16 - Cartera Irregular Consumo Sector Privado (%),P,3.88,,,,,
2018-11,800010200170,A17 - Cartera Irregular Comercial Sector Privado (%),P,1.85,,,,,
2018-11,800010200210,A21 - Posici�n de Previsiones M�nimas (%),P,55.27,,,,,
2018-11,800010201030,AG3 - Importancia de Cartera Vencida del Sector Privado (%),P,1.83,,,,,
2018-11,800010201290,AG29 - Efectivo y Dep�sito en Bancos / Activo (%),P,22.85,,,,,
2018-11,800010300010,E1 - Absorci�n de Gastos de Ad. con Vol�men de Negocio (%),P,4.35,,,,,
2018-11,800010300020,E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),P,58.93,,,,,
2018-11,800010300040,E4 - Dep�sitos por Empleado (en millones de pesos),N,36.44,,,,,
2018-11,800010300050,E5 - Financiaciones por Empleado (en millones de pesos),N,20.76,,,,,
2018-11,800010400010,R1 - Rendimiento Anual del Patrimonio ( ROE) (%),P,32.48,,,,,
2018-11,800010400020,R2 - Rendimiento Ordinario del Patrimonio (%),P,33.7,,,,,
2018-11,800010400080,R8 - Tasa Implicita Pr�stamos Totales (%),P,23.08,,,,,
2018-11,800010400090,R9 - Tasa Implicita Dep�sitos Totales (%),P,11.31,,,,,
2018-11,800010400170,R17 - Gastos en Personal / Gastos de Administraci�n (%),P,53.72,,,,,
2018-11,800010401010,RG1 - Retorno sobre Activos ( ROA) (%),P,3.58,,,,,
2018-11,800010401020,RG2 - Ingresos Financieros Netos / Activo  (%),P,9.37,,,,,
2018-11,800010401030,RG3 - Cargos por Incobrabilidad / Activo  (%),P,1.29,,,,,
2018-11,800010401040,RG4 - Ingresos Netos por Servicios / Activo  (%),P,1.93,,,,,
2018-11,800010401050,RG5 - Gastos de Administraci�n / Activo  (%),P,6.3,,,,,
2018-11,800010401150,RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),P,4.88,,,,,
2018-11,800010500010,L1 - Liquidez Total con Posici�n de Call (%),P,32.98,,,,,
2018-11,800010500080,L8_II - Liquidez Total (%),P,32.75,,,,,
2018-11,800010500090,L9 - Liquidez Inmediata (Ef. y dep en bcos + IRM x Pases)(%),P,48.66,,,,,
2018-12,800010100010,C1 - Apalancamiento (en veces),N,8.51,,,,,
2018-12,800010100020,C2 - P�rdida Potencial de Cartera en Situaci�n 2 a 6 (%),P,6.43,,,,,
2018-12,800010100030,C3 - P�rdida Potencial de Cartera en Situaci�n 3 a 6 (%),P,-2.6,,,,,
2018-12,800010200090,A9 - Total Cartera Irregular / Total Financiaciones (%),P,2.82,,,,,
2018-12,800010200110,A11 - Cartera Irregular Sector Privado (%),P,2.97,,,,,
2018-12,800010200120,A12 - Participaci�n Cartera Comercial Sector Privado (%),P,56.29,,,,,
2018-12,800010200130,A13 - Participaci�n Cartera Consumo Sector Privado (%),P,44.01,,,,,
2018-12,800010200140,A14 - Previsiones sobre Cartera Irregular Total (%),P,120.2,,,,,
2018-12,800010200160,A16 - Cartera Irregular Consumo Sector Privado (%),P,4.0,,,,,
2018-12,800010200170,A17 - Cartera Irregular Comercial Sector Privado (%),P,2.15,,,,,
2018-12,800010200210,A21 - Posici�n de Previsiones M�nimas (%),P,55.45,,,,,
2018-12,800010201030,AG3 - Importancia de Cartera Vencida del Sector Privado (%),P,1.92,,,,,
